year,month,happiness_index,source_sheet
2020,10,146,2020-2021
2020,11,211,2020-2021
2020,12,190,2020-2021
2021,1,187,2020-2021
2021,2,132,2020-2021
2021,3,211,2020-2021
2021,4,203,2020-2021
2021,5,221,2020-2021
2021,6,214,2020-2021
2021,7,207,2020-2021
2021,8,263,2020-2021
2021,9,234,2020-2021
2021,10,209,2020-2021
2021,11,237,2021-2022
2021,12,249,2021-2022
2022,1,250,2021-2022
2022,2,181,2021-2022
2022,3,208,2021-2022
2022,4,222,2021-2022
2022,5,251,2021-2022
2022,6,232,2021-2022
2022,7,237,2021-2022
2022,8,235,2021-2022
2022,9,235,2021-2022
2022,10,219,2021-2022
2022,11,266,2021-2022
2022,12,250,2021-2022
2023,1,248,2023
2023,2,226,2023
2023,3,250,2023
2023,4,239,2023
2023,5,249,2023
2023,6,215,2023
2023,7,278,2023
2023,8,254,2023
2023,9,238,2023
2023,10,251,2023
2023,11,226,2023
2023,12,242,2023
2024,1,251,2024
2024,2,216,2024
2024,3,226,2024
2024,4,241,2024
2024,5,239,2024
2024,6,213,2024
2024,7,240,2024
2024,8,230,2024
2024,9,207,2024
2024,10,240,2024
2024,11,214,2024
2024,12,238,2024
2025,1,229,2025
2025,2,174,2025
2025,3,224,2025
2025,4,222,2025
2025,5,244,2025
2025,6,251,2025
2025,7,247,2025
2025,8,254,2025
2025,9,243,2025
2025,10,240,2025
2025,11,256,2025
2025,12,247,2025
